flat_index,message_index,channel,time,freq,embedded_bit,decoded_bit,error,recovered_z,time_sec_start,time_sec_end,embedded_z,abs_z_diff
30976,13824,7,144,0,0,0,0,-0.642568826675415,5.625,5.6640625,-0.6744897365570068,0.0319209098815918
30977,13825,7,144,1,0,0,0,-0.9914979338645935,5.625,5.6640625,-0.6744897365570068,0.31700819730758667
30978,13826,7,144,2,1,1,0,0.5483769178390503,5.625,5.6640625,0.6744897365570068,0.12611281871795654
30979,13827,7,144,3,1,1,0,0.5572367906570435,5.625,5.6640625,0.6744897365570068,0.11725294589996338
30980,13828,7,144,4,1,1,0,0.7282313704490662,5.625,5.6640625,0.6744897365570068,0.053741633892059326
30981,13829,7,144,5,0,0,0,-0.8854182362556458,5.625,5.6640625,-0.6744897365570068,0.21092849969863892
30982,13830,7,144,6,1,1,0,1.2601522207260132,5.625,5.6640625,0.6744897365570068,0.5856624841690063
30983,13831,7,144,7,0,0,0,-0.36912801861763,5.625,5.6640625,-0.6744897365570068,0.30536171793937683
30984,13832,7,144,8,0,0,0,-0.39288729429244995,5.625,5.6640625,-0.6744897365570068,0.2816024422645569
30985,13833,7,144,9,0,0,0,-0.6028021574020386,5.625,5.6640625,-0.6744897365570068,0.07168757915496826
30986,13834,7,144,10,0,0,0,-0.27702125906944275,5.625,5.6640625,-0.6744897365570068,0.3974684774875641
30987,13835,7,144,11,1,0,1,-0.15373197197914124,5.625,5.6640625,0.6744897365570068,0.8282217085361481
30988,13836,7,144,12,1,1,0,0.41872942447662354,5.625,5.6640625,0.6744897365570068,0.2557603120803833
30989,13837,7,144,13,1,1,0,0.5000059604644775,5.625,5.6640625,0.6744897365570068,0.1744837760925293
30990,13838,7,144,14,1,1,0,0.5476868152618408,5.625,5.6640625,0.6744897365570068,0.12680292129516602
30991,13839,7,144,15,0,0,0,-1.031139612197876,5.625,5.6640625,-0.6744897365570068,0.35664987564086914
30992,13840,7,145,0,1,0,1,-0.007377869449555874,5.6640625,5.703125,0.6744897365570068,0.6818676060065627
30993,13841,7,145,1,1,1,0,0.2791859209537506,5.6640625,5.703125,0.6744897365570068,0.3953038156032562
30994,13842,7,145,2,1,1,0,0.4147534668445587,5.6640625,5.703125,0.6744897365570068,0.2597362697124481
30995,13843,7,145,3,1,1,0,0.6064345240592957,5.6640625,5.703125,0.6744897365570068,0.06805521249771118
30996,13844,7,145,4,0,0,0,-1.1716758012771606,5.6640625,5.703125,-0.6744897365570068,0.4971860647201538
30997,13845,7,145,5,0,0,0,-0.8988791108131409,5.6640625,5.703125,-0.6744897365570068,0.22438937425613403
30998,13846,7,145,6,0,0,0,-0.5124379396438599,5.6640625,5.703125,-0.6744897365570068,0.16205179691314697
30999,13847,7,145,7,1,1,0,0.785021185874939,5.6640625,5.703125,0.6744897365570068,0.11053144931793213
31000,13848,7,145,8,1,1,0,0.3366160988807678,5.6640625,5.703125,0.6744897365570068,0.337873637676239
31001,13849,7,145,9,1,1,0,0.3260510563850403,5.6640625,5.703125,0.6744897365570068,0.34843868017196655
